zone,town,x,y,guess,faction (A/H/N)
Tanaris,Wavestrider Beach,67.5,39.5,,
Teldrassil,Aldrassil,59.1,40.3,,
Teldrassil,Ban'ethil Barrow Den,44.3,58.0,,
Teldrassil,Dolanaar,56.3,60.2,,
Teldrassil,Fel Rock,54.7,52.5,,
Teldrassil,Shadowthread Cave,56.8,31.7,,
Teldrassil,The Cleft,51.3,44.6,,
The Barrens,Fray Island,68.6,48.6,,
The Barrens,Mor'shan Base Camp,46.7,8.6,,
The Barrens,Wailing Caverns,46.0,36.3,,
The Hinterlands,Wildhammer Keep,14.1,44.8,A,
Thousand Needles,Darkcloud Pinnacle,33.8,38.2,H,
Thousand Needles,Ironstone Camp,67.7,64.1,,
Thousand Needles,Mirage Raceway,80.5,77.5,,
Thousand Needles,Roguefeather Den,27.3,51.1,,
Thousand Needles,Splithoof Hold,44.0,37.5,H,
Thousand Needles,Tahonda Ruins,78.7,88.8,,
Thousand Needles,The Rustmaul Digsite,68.5,86.0,,
Thousand Needles,The Weathered Nook,53.7,42.5,H,
Thousand Needles,Weazel's Crater,78.8,62.5,,
Thousand Needles,Whitereach Post,21.4,32.4,,
Tirisfal Glades,Brill,61.0,52.7,,
Tirisfal Glades,Deathknell,32.0,65.0,,
Tirisfal Glades,Night Web's Hollow,26.6,59.5,,
Un'Goro Crater,Fungal Rock,64.0,16.4,,
Western Plaguelands,The Weeping Cave,65.3,39.0,,
Western Plaguelands,Uther's Tomb,52.1,83.6,A,
Westfall,Moonbrook,43.0,69.3,,
Wetlands,Dun Modr,47.4,16.8,,
Wetlands,Grim Batol,74.0,69.2,,
Winterspring,Dun Mandarr,59.0,59.5,,
Winterspring,Moon Horror Den,60.8,29.8,,
Winterspring,The Ruins of Kel'Theril,56.2,44.5,,
Winterspring,Timbermaw Hold,27.9,34.5,,
